StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
9290, 13257, 17605, , ,,,2.8431384,+36.94864201,60.7533414337789, 6.44,2.52214915438126,G0          , 0.617
9291, 13258, 17660,,Gl 114   ,, ,2.84352405,+15.71087586,22.4164985429276, 8.87,7.11716111620808,K5          , 1.194
9292, 13259, 17569, , ,,,2.84354595,+43.31471396,142.65335235378, 8.09,2.31859008983329,A0          , 0.250
9293, 13262,237008, , ,,,2.84385898,+56.98341590,10000000, 8.91,-6.09,M3Iab       , 2.503
9294, 13263, 17267, , ,,,2.84399189,+70.94962466,192.307692307692, 8.90,2.480016718174,A3          , 0.230
9295, 13264, 17553, , ,,,2.84438212,+48.29078305,305.810397553517, 7.86,0.432738763301432,A0          ,-0.017
9296, 13265, 17829, 851,,   Eta3For, ,2.84455664,-35.67571664,162.866449511401, 5.48,-0.57915814429416,K2III       , 1.259
9297, 13267, 17865,,Gl 115   ,, ,2.84484448,-44.08064188,58.2750582750583, 8.16,4.33258641756343,F8V         , 0.568
9298, 13268, 17506, 834,, 15Eta Per, ,2.84494243,+55.89552955,408.163265306122, 3.77,-4.28416957817734,K3Ib comp SB, 1.690
9299, 13269, 17659, , ,,,2.84513716,+19.16065245,60.790273556231, 6.63,2.71082951142997,F8          , 0.602
9300, 13270, 17900, , ,,,2.84529172,-48.87353758,63.653723742839, 8.17,4.15088092519987,G2V         , 0.617
9301, 13271, 17864, 853,,          , ,2.84660411,-39.93219929,99.8003992015968, 6.36,1.36433860765614,A0V         , 0.040
9302, 13272, 17799, , ,,,2.84725457,-23.02755762,112.866817155756, 7.53,2.26716860943526,A5V         , 0.221
9303, 13273, 17888, , ,,,2.84745842,-45.23992104,115.740740740741, 8.95,3.63256871239447,F5/F6V      , 0.524
9304, 13274, 18121, , ,,,2.84783457,-67.52238590,143.472022955524, 6.57,0.786163890490047,K0III       , 1.007
9305, 13275, 17624, , ,,,2.84799559,+35.39390349,135.50135501355, 6.51,0.850281809115208,K2          , 1.476
9306, 13276, 17454, , ,,,2.84819416,+62.36772082,427.350427350427, 7.86,-0.293920712949284,B9III       , 0.141
9307, 13277, 17675, , ,,,2.84823674,+23.74126151,236.406619385343, 7.76,0.891701836875212,G9III       , 1.109
9308, 13282, 17612, , ,,,2.84879776,+41.66208007,301.204819277108, 8.76,1.36569041852018,A0          ,-0.023
9309, 13283, 17838, , ,,,2.84961891,-28.13227921,200.400801603206, 8.77,2.26050272811695,F7V         , 0.566
9310, 13284, 17648, , ,,,2.84990705,+32.36403541,3571.42857142857, 7.66,-5.1042098432889,K5          , 1.685
